Unique ID,RA,Dec,Period (day),Period (min),Period error,Aliases,Double lined?,Eclipsing,Verific Binary/ LISA Detectable,Gmag,"Distance (pc, 1/p. bold for literature)",K1 (km/s),K1 error,K2 (km/s),K2 error,M1,M1 error,M2,M2 error,Mtotal,Mtotal error, Ref 1,Ref 2,Ref 3,Ref 4,SecureDWDbinary?,Comment,
WD J0651+2844,06 51 33.34,+28 44 23.4,0.008856557211,12.75344238,6.40E-10,,N,Y,Y,19.3,992.9,616.9,5,,,0.26,0.04,0.5,0.04,0.76,0.057,2011ApJ...737L..23B,2012ApJ...757L..21H,,,Y,SDSS J065133.33+284423.3,
J1459−1920,14 59 02.159,−19 20 33.552,0.15199,218.8656,0.00003,,N,?,,18.1,1408.5,287.8,7.4,,,0.26,0.02,>0.7,0.04,#VALUE!,0.045,2023ApJ...950..141K,,,,N,,
J1738+2927,17 38 35.47,+29 27 50.63,0.0477,68.688,0.00011,,N,?,,19.3,780.0,372.7,13.2,,,0.261,0.016,>0.55,,#VALUE!,0.016,2020ApJ...889...49B,,,,Y,,
J2149+1506,21 49 11.107,+15 06 37.71,0.08541,122.9904,0.00016,,N,?,,18.1,1055,290.3,12,,,0.267,0.032,>0.51,,#VALUE!,0.032,2022ApJ...933...94B,,,,Y,,
J1632+4936,16 32 42.394,+49 36 14.60,0.10141,146.0304,0.00016,,N,?,,17.9,1117,209.7,7.2,,,0.269,0.021,>0.33,,#VALUE!,0.021,2022ApJ...933...94B,,,,Y,,
SDSS J232230.20+050942.06,23 22 30.2,+05 09 42.06,0.01390046296,20.01666667,,,N,N,D,18.7,865.2,148.6,6.3,,,0.27,0.06,0.24,0.06,0.51,0.085,2020ApJ...892L..35B,,,,Y,"""first He+He white dwarf LISA verification binary, a source class that is predicted
to account for one-third of resolved LISA ultra-compact binary detections.""",
J0221+1710,02 21 10.832,+17 10 49.182,0.061288,88.25472,0.00002,,N,?,,17.7,279.3,347.9,4.2,,,0.27,0.01,0.58,0.02,0.85,0.022,2023ApJ...950..141K,,,,N,,
J1657−0417,16 57 24.888,−04 17 22.348,0.083954,120.89376,0.000441,,N,?,,18.3,490.2,289.4,8.8,,,0.27,0.02,>0.5,0.03,#VALUE!,0.036,2023ApJ...950..141K,,,,N,,
J1313+5828,13 13 49.976,+58 28 01.39,0.07395,106.488,0.00018,,N,?,,18.4,678,321.7,6.5,,,0.271,0.015,>0.56,,#VALUE!,0.015,2022ApJ...933...94B,,,,Y,,
J0923+3028,09 23 45.60,+30 28 05.08,0.04495,64.728,0.00049,,N,?,D,15.7,287.4,296,3,,,0.275,0.015,0.76,0.23,1.035,0.23,2010ApJ...723.1072B,2011ApJ...727....3K,2016ApJ...824...46B,,Y,Also WD 0920+306,
WD J0825+1152,08 25 11.91,+11 52 36.4,0.05819,83.7936,0.00001,,N,N,,19,2377.7,319.4,2.7,,,0.278,0.021,0.8,0.22,1.078,0.221,2012ApJ...751..141K,2016ApJ...824...46B,,,Y,,
J1812+0525,18 12 38.471,+05 25 29.868,0.059847,86.17968,0.000083,,N,?,,18.9,1176.5,373.3,6.2,,,0.28,0.03,0.73,0.05,1.01,0.058,2023ApJ...950..141K,,,,N,,
J1130+3855,11 30 17.46,+38 55 50.1,0.15652,225.3888,0.00001,,N,?,,19.6,675.0,284,4.9,,,0.288,0.018,0.9,0.18,1.188,0.181,2016ApJ...824...46B,,,,Y,,
J1832+2031,18 32 36.539,+20 31 08.202,0.046641,67.16304,0.000002,,N,?,,17.6,621.1,335.2,4.2,,,0.29,0.03,>0.47,0.02,#VALUE!,0.036,2023ApJ...950..141K,,,,N,,
J2243−4511,22 43 27.479,−45 11 18.404,0.109479,157.64976,0.000043,,N,?,,17.4,389.1,249.4,4.9,,,0.29,0.01,>0.46,0.02,#VALUE!,0.022,2023ApJ...950..141K,,,,N,,
J0834+3049,08 34 46.9,+30 49 59.2,0.30079,433.1376,0.0011,,N,?,,19.1,756.9,179.3,13.9,,,0.29,0.01,>=0.47,,#VALUE!,0.01,2017MNRAS.471.4218K,,,,Y,SDSS J083446.91+304959.2,
J0215+0155,02 15 06.244,+01 55 03.363,0.387941,558.63504,0.000001,,N,?,,14.3,465.1,186.4,1.5,,,0.29,0.02,>0.58,0.02,#VALUE!,0.028,2023ApJ...950..141K,,,,N,,
HE0320-1917    ,03 22 31.93,-19 06 48.1,0.86492,1245.4848,0.00004,,N,N,,15.9,114.8,105,1,,,0.29,,>0.35,,#VALUE!,0,2005A&A...440.1087N,,,,Y,In SPY.          WD0320-192,
J1239−2041,12 39 50.37,-20 41 42.28,0.01563,22.5072,0.00013,,N,?,Y,18.6,824,557.2,10.4,,,0.291,0.013,>0.61,,#VALUE!,0.013,2022ApJ...933...94B,,,,Y,,
WD J1630+4233,16 30 30.58,+42 33 05.8,0.027659,39.82896,0.000043,,N,N,D,19.2,851.2,295.9,4.9,,,0.298,0.019,0.76,0.24,1.058,0.241,2011MNRAS.418L.157K,2016ApJ...824...46B,,,Y,,
J0130−0530,01 30 15.92,-05 30 25.72,0.63648,916.5312,0.00072,,N,?,,18.9,4834,191.2,5.7,,,0.299,0.053,>0.85,,#VALUE!,0.053,2022ApJ...933...94B,,,,Y,,
SDSS082239+304857,08 22 39.55,+30 48 57.2,0.02797,40.2768,0.00016,,N,Y,,20.4,880.5,415.7,22.7,,,0.304,0.014,0.524,0.05,0.828,0.052,2017ApJ...847...10B,2021MNRAS.500.5098K,,,Y,,
ZTF J1946+3203,19 46 03.89,+32 03 13.13,0.02330811817,33.56369017,,,N,Y,,19.2,5225.3,284.8,4.8,,,0.307,0.097,0.272,0.046,0.579,0.107,2020ApJ...905...32B,,,,N,unclear if DWD or not,
WD 1241-010     ,12 44 28.57,-01 18 57.7,3.34741,4820.2704,0.00014,,N,N,,14,83.3,68.4,0.9,,,0.31,,>0.373,0.022,#VALUE!,0.022,1995MNRAS.275..828M,,,,Y,Spectra in SPY also. Not listed as DD from SPY alone. WD1241-010,
WD 0931+444,09 35 06.93,+44 11 06.9,0.01375,19.8,0.00051,0.0142,N,N,Y,17.8,369.9,198.5,3.2,,,0.312,0.019,0.75,0.24,1.062,0.241,2014MNRAS.444L...1K,2016ApJ...824...46B,,,Y,SDSSJ09351,
J1708+2225,17 08 16.36,+22 25 51.07,0.23735,341.784,0.00024,1.00795,N,?,,19.1,1612.0,115.5,8.5,,,0.32,0.011,>0.22,,#VALUE!,0.011,2020ApJ...889...49B,,,,Y,,
WD0019-105,00 22 07.65,-10 14 23.6,0.0799,115.056,0.003,,N,?,,19.9,2844.4,145.6,5.6,,,0.33,,>0.19,,#VALUE!,0,2011ApJ...727....3K,,,,Y,Also J0022−1014,
PG1317+453     ,13 19 13.71,+45 05 09.9,4.87214,7015.8816,0.00022,,N,N,,14.1,49.1,,,,,0.33,,>0.421,,#VALUE!,0,1995MNRAS.275..828M,,,,Y,WD1317+453,
SDSS J1056+6536,10 56 11.03,+65 36 31.5,0.04351,62.6544,0.00103,,N,N,,19.9,1510.4,267.5,7.4,,,0.334,0.016,0.76,0.24,1.094,0.241,2012ApJ...751..141K,2016ApJ...824...46B,,,Y,,
J2257+3023,22 57 02.141,+30 23 38.50,0.13489,194.2416,0.00016,,N,?,,18.3,277,226.3,3.2,,,0.334,0.016,>0.47,,#VALUE!,0.016,2022ApJ...933...94B,,,,Y,,
SDSS1005+0542  ,10 05 48.09,+05 42 04.4,0.3056,440.064,0.00007,,N,N,,19.9,1640.0,208.9,6.8,,,0.34,,>0.66,,#VALUE!,0,2012ApJ...751..141K,,,,Y,,
J0923−1218,09 23 50.32,-12 18 24.00,0.14896,214.5024,0.00002,,N,?,,16.3,262.0,117,3.7,,,0.344,0.023,>0.19,,#VALUE!,0.023,2020ApJ...889...49B,,,,Y,,
WD1428+373     ,14 30 42.61,+37 10 15.3,1.15674,1665.7056,0.00002,,N,N,,15.5,98.1,67.9,1.68,,,0.348,,>0.233,,#VALUE!,0,2005MNRAS.359..648M,,,,Y,,
HS1334+0701,13 36 33.67,+06 46 26.8,,,,,N,?,,15.4,105.8,,,,,0.35,,,,0.35,0,2020A&A...638A.131N,,,,Y,In SPY,
WD0032-317,00 34 49.82,-31 29 54.3,,,,,N,?,,16.1,431.1,,,,,0.35,,,,0.35,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY. Phot variable in Gaia,
J1235+1543,12 35 49.9,+15 43 19.4,0.03672,52.8768,0.0014,,N,?,,17.5,444.4,166.5,6.2,,,0.35,0.01,>=0.17,,#VALUE!,0.01,2017MNRAS.468.2910B,2017MNRAS.471.4218K,,,Y,SDSS J123549.88+154319.3,
J1555+1007,15 55 15.894,+10 07 24.851,0.298037,429.17328,0.000877,,N,?,,18.2,396.8,148.5,6.7,,,0.35,0.02,>0.38,0.03,#VALUE!,0.036,2023ApJ...950..141K,,,,N,,
J0501−2312,05 01 29.865,−23 12 04.397,0.086593,124.69392,0.001156,,N,?,,18,609.8,105.1,5.1,,,0.36,0.01,>0.14,0.01,#VALUE!,0.014,2023ApJ...950..141K,,,,N,,
J1526−2711,15 26 01.115,−27 11 56.660,0.027982,40.29408,0.000439,,N,?,,18.3,621.1,336,5.6,,,0.37,0.02,>0.4,0.02,#VALUE!,0.028,2023ApJ...950..141K,,,,N,,
J2013−1310,20 13 53.498,−13 10 41.750,0.061618,88.72992,0.000597,,N,?,,18.7,452.5,300.9,6.5,,,0.37,0.02,>0.51,0.02,#VALUE!,0.028,2023ApJ...950..141K,,,,N,,
J1046-0153,10 46 07.87,-01 53 58.5,0.39539,569.3616,0.10836,0.659,N,?,,18.2,383.2,80.8,6.6,,,0.37,,>0.19,,#VALUE!,0,2013ApJ...769...66B,,,,Y,,
PG0934+338     ,09 37 08.61,+33 34 04.7,1.1142,1604.448,0.0055,,N,N,,16.4,321.9,111,17,,,0.38,,>0.5,,#VALUE!,0,2011ApJ...730...67B,,,,Y,,
WD0341+021     ,03 44 10.75,+02 15 29.8,1.820697,2621.80368,,,N,N,,15.4,143.5,73,1,,,0.38,0.03,>0.33,,#VALUE!,0.03,2000MNRAS.319..305M,,,,Y,In SPY. P from SPY follow-up,
J2317+0602,23 17 57.42,+06 02 52.09,0.86702,1248.5088,0.00133,1.27191,N,?,,19.5,558.0,100.7,7.3,,,0.381,0.029,>0.38,,#VALUE!,0.029,2020ApJ...889...49B,,,,Y,,
WD1022+050     ,10 24 59.83,+04 46 10.5,1.157155,1666.3032,0.000005,,N,N,,14.2,43.1,74.77,1.16,,,0.389,,>0.283,,#VALUE!,0,2005MNRAS.359..648M,,,,Y,In SPY,
GD 251,23 34 20.86 ,+29 18 36.6,0.1664914,239.747616,0.0000007,,N,N,,15.7,245.9,,,,,0.39,,>0.322,,#VALUE!,0,1995MNRAS.275..828M,,,,Y,WD2331+290,
J0745+2104,07 45 00.527,+21 04 31.37,0.53964,777.0816,0.00511,0.343,N,?,,18.6,747,132.2,4.6,,,0.397,0.016,>0.46,,#VALUE!,0.016,2022ApJ...933...94B,,,,Y,,
WDJ 022558.21-692025.38,02 25 58.21,−69 20 25.38,0.03277099777,47.19023679,0.00000000024,,N,Y,D+,16.4,402.6,224,4.4,,,0.4,0.04,0.28,0.02,0.68,0.045,2023MNRAS.525.1814M,,,,Y,,
J0545−1902,05 45 45.301,−19 02 45.499,0.144472,208.03968,0.000684,,N,?,,17.3,386.1,134.7,5.4,,,0.4,0.02,>0.25,0.02,#VALUE!,0.028,2023ApJ...950..141K,,,,N,,
SDSS0845+1624  ,08 45 23.03,+16 24 57.6,0.75599,1088.6256,0.0216,,N,N,,20,584.3,62.2,5.4,,,0.4,,>0.19,,#VALUE!,0,2012ApJ...751..141K,,,,Y,,
PG0834+501     ,08 37 37.34,+49 52 27.9,1.284,1848.96,0.056,,N,N,,15.3,515.0,58,9,,,0.4,,>0.22,,#VALUE!,0,2011ApJ...730...67B,,,,Y,,
PG2032+188     ,20 35 13.81,+18 59 21.6,5.0846,7321.824,0.0003,,N,N,,15.4,109.2,63.5,1.59,,,0.406,,>0.469,,#VALUE!,0,1995MNRAS.275..828M,2005MNRAS.359..648M,,,Y,Spectra In SPY,
J0124+3908,01 24 59.73,+39 08 04.43,1.29211,1860.6384,0.00433,0.22477,N,?,,18.3,833.0,127,9.9,,,0.407,0.034,>0.69,,#VALUE!,0.034,2020ApJ...889...49B,,,,Y,,
WD 1447−190,14 50 11.93,-19 14 08.67,1.79083,2578.7952,,,N,N,,15.7,48.6,83.8,1.3,,,0.41,0.1,0.33,0.09,0.74,0.135,2020MNRAS.493.2805K,,,,N,,
J0820+4543,08 20 10.339,+45 43 01.70,0.31553,454.3632,0.00042,,N,?,,17.9,388,153.1,3.7,,,0.412,0.016,>0.44,,#VALUE!,0.016,2022ApJ...933...94B,,,,Y,,
J0725−1245,07 25 27.362,−12 45 46.824,0.106135,152.8344,0.000061,,N,?,,18.9,662.3,79.6,5,,,0.42,0.02,>0.12,0.01,#VALUE!,0.022,2023ApJ...950..141K,,,,N,,
J2342+0811,23 42 48.9,+08 11 37.5,0.16788,241.7472,0.0014,,N,?,,19,574.7,128.3,10.9,,,0.42,0.02,>=0.26,,#VALUE!,0.02,2017MNRAS.471.4218K,,,,Y,SDSS J234248.86+081137.3,
J0755+4800,07 55 19.48,+48 00 34.1,0.54627,786.6288,0.00522,0.349,N,?,,16.2,183.0,194.5,5.5,,,0.42,,>0.90,,#VALUE!,0,2013ApJ...769...66B,,,,Y,,
PG1519+500     ,15 20 41.96,+49 51 40.9,0.8603,1238.832,,,N,N,,16.5,305.6,45,9,,,0.42,,>0.14,,#VALUE!,0,2011ApJ...730...67B,,,,Y,,
WD1824+040     ,18 27 13.08,+04 03 46.7,6.266,9023.04,0.00005,,N,N,,13.9,44.6,61.87,0.55,,,0.428,,>0.515,,#VALUE!,0,2005MNRAS.359..648M,,,,Y,In SPY,
WD2345-4810,23 47 46.16,-47 53 42.8,,,,,N,?,,15.9,246.8,,,,,0.43,,,,0.43,0,2020A&A...638A.131N,,,,Y,In SPY,
J1506−1125,15 06 12.345,−11 25 11.994,0.03232,46.5408,0.00039,,N,?,,17,413.2,167.5,4.3,,,0.43,0.02,>0.18,0.01,#VALUE!,0.022,2023ApJ...950..141K,,,,N,,
J1237+4913,12 37 28.7,+49 13 02.7,0.10763,154.9872,0.0024,,N,?,,18.9,959.4,143.6,10.5,,,0.43,0.02,>=0.25,,#VALUE!,0.02,2017MNRAS.471.4218K,,,,Y,SDSS J123728.64+491302.6,
WD1013-010     ,10 16 06.87,-01 19 17.1,0.43653,628.6032,0.00005,,N,?,,15.3,46.3,122,2,,,0.44,,>0.38,,#VALUE!,0,2005A&A...440.1087N,,,,Y,In SPY,
J1115+0246,11 15 27.31,+02 46 21.86,0.12405,178.632,0.00004,0.14175,N,?,,18.8,899.0,139.9,12.2,,,0.446,0.01,>0.26,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
HE0031−5525,00 33 36.03,-55 08 37.5,,,,,N,?,,15.8,67.9,,,,,0.45,,,,0.45,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD2308+050,23 11 18.05,+05 19 27.9,,,,,N,?,,16,230.9,,,,,0.45,,,,0.45,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD2330-212,23 32 59.52,-20 57 12.4,,,,,N,?,,16.7,263.2,,,,,0.45,,,,0.45,0,2020A&A...638A.131N,,,,Y,In SPY,
SDSS J063449.92+380352.2,06 34 49.94,+38 03 52.45,0.01840277778,26.5,,,N,N,Y,17.1,435.0,132.1,6,,,0.452,0.07,0.209,0.034,0.661,0.078,2021ApJ...918L..14K,,,,N,,
J1039+1645,10 39 53.12,+16 45 24.3,0.825,1188,0.022,,N,N,,19.2,609.8,83.4,4,,,0.458,0.018,>0.31,,#VALUE!,0.018,2016ApJ...818..155B,,,,Y,,
J1104+0918,11 04 36.75,+09 18 22.8,0.55319,796.5936,0.00502,0.355,N,?,,16.8,188.6,142.1,6,,,0.46,,>0.55,,#VALUE!,0,2013ApJ...769...66B,,,,Y," In ELM survey. In SPY, low amp HS1102+0934",
HE0455-282,04 56 58.35,-53 10 26.6,,,,,N,?,,16.8,233.5,,,,,0.47,,,,0.47,0,2020A&A...638A.131N,,,,Y,In SPY ,
HE1511-0448,15 14 12.97,-04 59 33.4,3.222,4639.68,0.001,,N,N,,15.3,292.9,,,,,0.48,,>0.46,,#VALUE!,0,2005A&A...440.1087N,,,,Y,"In SPY, this is a SPY paper, Nelemans et al 2005",
WD1202+608     ,12 04 38.54,+60 32 08.1,1.49303,2149.9632,0.00011,,N,N,,13.5,202.1,77.4,7.7,,,0.486,,>0.25,,#VALUE!,0, 1995ApJ...452L.133H,,,,Y,Feige 55,
WD0101+048,01 03 50.01,+05 04 29.2,,,,,N,?,,13.9,22.0,,,,,0.49,,,,0.49,0,1999MNRAS.307..122M,2020A&A...638A.131N,,,Y,"In SPY, multiple competing aliases",
HE0325-4033,03 27 43.92,-40 23 26.1,,,,,N,?,,16.3,104.9,,,,,0.49,,,,0.49,0,2020A&A...638A.131N,,,,Y,In SPY,
WD1124-018,11 27 20.76,-02 08 40.6,,,,,N,?,,19.7,179.7,,,,,0.49,,,,0.49,0,2017MNRAS.468.2910B,,,,Y,In SPY,
HE0131+0149,01 34 28.46,+02 04 21.4,,,,,N,?,,14.7,47.8,,,,,0.5,,,,0.5,0,2020A&A...638A.131N,,,,Y,In SPY,
WD0114-605,01 16 19.55,-60 16 07.6,,,,,N,?,,15.1,97.3,,,,,0.5,,,,0.5,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HE0417-3033,04 19 22.07,-30 26 44.0,,,,,N,?,,16.6,144.0,,,,,0.5,,,,0.5,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HS1204+0159,12 07 29.51,+01 42 50.6,,,,,N,?,,17,219.3,,,,,0.5,,,,0.5,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD0326-273     ,03 28 48.74,-27 19 00.6,1.8754,2700.576,0.0005,,N,N,,13.6,23.0,96.2,0.5,,,0.51,,0.59,,1.1,0,2005A&A...440.1087N,,,,Y,In SPY. Looks like a triple from gaia (common pm),
WD0216+143,02 18 48.27,+14 36 03.2,,,,,N,?,,14.5,83.4,,,,,0.54,,,,0.54,0,2020A&A...638A.131N,,,,Y,In SPY,
WD2254+126,22 56 46.26,12 52 49.9,,,,,N,?,,15.8,62.6,,,,,0.55,,,,0.55,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HE0344-1207,03 47 06.71,-11 58 08.5,,,,,N,?,,16,68.1,,,,,0.55,,,,0.55,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY. Phot variable in Gaia,
HE0516−1804,05 19 04.27,-18 01 29.1,,,,,N,?,,16.2,83.6,,,,,0.55,,,,0.55,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY. Maybe triple? Common proper motion pair in dr3,
HE0221-2642,02 23 29.4,-26 29 19.7,,,,,N,?,,15.8,179.0,,,,,0.55,,,,0.55,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD2359−324,00 02 32.36,-32 11 50.7,,,,,N,?,,16.3,192.6,,,,,0.55,,,,0.55,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD2248-504,22 51 02.02,-50 11 31.8,,,,,N,?,,15.1,62.7,,,,,0.6,,,,0.6,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HE0221-0535,02 23 59.9,-05 21 45.9,,,,,N,?,,15.7,112.0,,,,,0.6,,,,0.6,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD 1418−088,14 20 54.81367,-09 05 08.77,,,,,N,N,,15.3,38.3,,,,,0.6,0.12,0.68,0.13,1.28,0.177,2020MNRAS.493.2805K,,,,N,Spectra in SPY also. Very high RUWE,
J1638+3500,16 38 26.27,+35 00 12.03,0.90606,1304.7264,0.00031,,N,?,,14.6,103.0,89.5,4.4,,,0.698,0.03,>0.45,,#VALUE!,0.03,2020ApJ...889...49B,,,,Y,,
HE2148−3857,21 51 19.23,-38 43 04.5,,,,,N,?,,16.4,175.5,,,,,0.7,,,,0.7,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HS2046+0044,20 48 38.26,+00 56 00.8,,,,,N,?,,16,216.2,,,,,0.7,,,,0.7,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
WD1233-164,12 36 14.02,-16 41 53.5,,,,,N,?,,15.1,66.8,,,,,0.75,,,,0.75,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
HE0324-1942,03 27 05.02,-19 32 23.8,,,,,N,?,,16,140.6,,,,,0.78,,,,0.78,0,,,,,Y,In SPY,
HM Cnc,08 06 22.95,+15 27 31.0,0.003722222,5.35999968,,,N,N,Y,20.9,>1500,1200,,,,1,,0.2,,1.2,0,2010ApJ...711L.138R,2023MNRAS.518.5123M,,,Y,Mass transferring direct impact,
LAMOST J033847.06+413424.2,03 38 47.076,+41 34 24.19,0.1253132,180.451008,0.0000001,,N,N,,15.1,596.0,289,4,,,~0.79,,~0.22,,#VALUE!,0,2023MNRAS.526.5471Y,,,,N,Subdwarf/DWD. More likely DWD,
J2049+3351,20 49 51.274,+33 51 53.126,0.029747,42.83568,0.000007,,N,?,,18.7,1960.8,513.2,9.5,,,,,,,0,0,2023ApJ...950..141K,,,,N,,
J1758+7642,17 58 12.847 ,+76 42 16.80,0.06566667,94.5600048,,,N,Y,,19,619.9,,,,,,,,,0,0,2022MNRAS.509.4171K,,,,N,Needs RVs. DWD HR position. ELM binary/DWD binary. No secondary eclipse detection. ID spectra only,
SDSS1257+5428  ,12 57 33.65,+54 28 50.5,0.18979154,273.2998176,0.00000009,,Y,N,,16.7,120.2,,,,,0.2,,>0.95,,#VALUE!,0,2009ApJ...707..971B,2011ApJ...736...95M,,,Y,,
ZTF J1539+5027,15 39 32.16,+50 27 38.72,0.004800828014,6.91319234,,,Y,Y,Y,20.4,negative,961,150,292,400,0.21,0.015,0.61,0.022,0.82,0.027,2020ApJ...905...32B,,,,Y,,
ZTF J1749+0924,17 49 55.3,+09 24 32.4,0.01833333333,26.4,,,Y,Y,,20.5,negative,,,,,0.28,0.05,0.4,0.07,0.68,0.086,2020ApJ...905...32B,,,,Y,,
WD 1101+364     ,11 04 32.58,+36 10 49.0,0.144719,208.39536,0.000056,,Y,N,,14.6,87.3,69.7,1.7,-80.3,1.6,0.29,,0.33,,0.62,0,1995MNRAS.275L...1M,,,,Y,Cores same strength; similar temperatures for each star. Need to check which is youngest.,PG1101+364
ZTF J2029+1534,20 29 22.31,+15 34 30.97,0.01451388889,20.9,,,Y,Y,D,20.5,8063.1,,,,,0.3,0.04,0.32,0.04,0.62,0.057,2020ApJ...905...32B,,,,Y,,
ZTF J0538+1953,05 38 02.73,+19 53 02.89,0.01002777778,14.44,,,Y,Y,Y,18.8,1039.8,,,,,0.32,0.03,0.45,0.05,0.77,0.058,2020ApJ...905...32B,,,,Y,,
ZTF J0722−1839,07 22 21.49,-18 39 30.57,0.01645833333,23.7,,,Y,Y,D,19.1,1429.4,,,,,0.33,0.03,0.38,0.04,0.71,0.05,2020ApJ...905...32B,,,,Y,i = 89.66,
ZTF J2243+5242,22 43 42.972,+52 42 06.00,0.006110356644,8.798913567,0.0000000004976851852,,Y,Y,Y,20.55,2120.0,,,,,0.349,0.09,0.384,0.11,0.733,0.142,2020ApJ...905L...7B,,,,Y,,
GD 360,17 15 34.85,+33 13 04.2,1.1274,1623.456,0.00003,,Y,N,,14.4,88.9,,,,,0.35,,>0.178,0.006,#VALUE!,0.006,1995MNRAS.275..828M,,,,Y,WD1713+332,
WD2336-187,23 38 52.80,-18 26 12.7,,,,,Y,?,,15.5,37.2,,,,,0.36,,,,0.36,0,2020A&A...638A.131N,,,,Y,In SPY,
ZTF J1901+5309,19 01 25.42,+53 09 29.27,0.02819569641,40.60180283,,,Y,Y,,18,910.9,,,,,0.36,0.05,0.36,0.05,0.72,0.071,2020ApJ...905...32B,,,,Y,,
J1152+0248,11 52 19.99,+02 48 14.4,0.099867,143.80848,0.000012,,Y,Y,,18.5,631.7,190.6,1.5,212.3,10.5,0.362,0.014,0.325,0.013,0.687,0.019,2016MNRAS.458..845H,2020NatAs...4..690P,,,Y,Pulsating WD. Double lined in Parsons 2020,
WD0957-666,09 58 54.94,-66 53 10.2,0.06099312,87.8300928,0.00000002,,Y,N,,14.5,163.6,218.4,1.1,246.3,5,0.37,,0.32,,0.69,0,1997MNRAS.288..538M,2002MNRAS.332..745M,,,Y,,
J2102−4145,21 02 20.456,−41 45 01.736,0.1002087525,144.3006036,0.000000001,,Y,Y,,15.8,164.7,220.8,0.7,184.6,0.8,0.375,0.01,0.314,0.01,0.689,0.014,2023ApJ...950..141K,2024arXiv240210159A,,,Y,,
CSS 41177  ,10 05 59.10,+22 49 32.2,0.116015,167.0616,,,Y,Y,,17.4,434.5,176.1,1.1,210.4,6.1,0.378,0.02,0.316,0.01,0.694,0.022,2014MNRAS.438.3399B,,,,Y,,
WD 0311−649,03 12 25.70,-64 44 10.89,0.73957,1064.9808,,,Y,N,,13.3,36.6,86.5,2,60.1,2.1,0.385,0.063,0.554,0.082,0.939,0.103,2020MNRAS.493.2805K,,,,N,,
WD0344+073,03 46 51.42,+07 28 01.9,,,,,Y,?,,16.6,139.2,,,,,0.39,,,,0.39,0,2020A&A...638A.131N,,,,Y,In SPY,
WD1704+481     ,17 05 30.44,+48 03 12.4,0.1447864,208.492416,0.0000025,,Y,N,,14.4,39.4,,,,,0.39,0.05,0.56,0.07,0.95,0.086,2000MNRAS.314..334M,,,,Y,Triple WD,
PG 1632+177,16 34 41.845,+17 36 34.09,2.04987,2951.8128,,,Y,?,,13.1,25.6,78.2,2,58.4,1.9,0.392,0.069,0.526,0.095,0.918,0.117,2021MNRAS.502.4972K,,,,N,25.6pc,
WD 1534+503,15 36 15.83,+50 13 50.98,0.71129,1024.2576,,,Y,?,,15.8,68.2,135.9,3.2,86.4,3.2,0.392,0.07,0.617,0.11,1.009,0.13,2003ApJ...596..477Z,2021MNRAS.502.4972K,,,N,Also called GD 347,
WD0455-295,04 55 35.90,-29 28 59.0,0.3584,516.096,,,Y,?,,15,97.4,,,,,0.4,,0.44,,0.84,0,1994ApJ...429..369W,2020A&A...638A.131N,,,Y,In SPY. DA+DBA. Still one close alias to be setlled I think? WD0453-295,
HE0315-0118    ,03 18 13.25,-01 07 11.7,1.9128,2754.432,0.00025,,Y,N,,14.7,70.2,,,,,0.4,0.05,0.49,0.05,0.89,0.071,2017MNRAS.466.1575R,2020A&A...638A.131N,,,Y,In SPY.       SDSSJ031813.25–010711.7.    WD0315-013,
HE0205-2945,02 08 08.00,-29 31 38.8,,,,,Y,?,,15.9,100.7,,,,,0.413,,,,0.413,0,2020A&A...638A.131N,,,,Y,In SPY,
PG1115+166,11 17 55.11,+16 21 29.3,30.088,43326.72,0.016,,Y,N,,15.1,90.5,,,,,0.43,0.15,0.52,0.12,0.95,0.192,2002MNRAS.334..833M,,,,Y,In SPY. DA+DB long period,
WD 1606+422,16 08 22.19,+42 05 43.44,0.83935,1208.664,,,Y,N,,13.8,43.3,123,1.7,92.7,1.5,0.445,0.103,0.592,0.124,1.037,0.161,2020MNRAS.493.2805K,,,,N,Also EGGR 116,
WD1204+450     ,12 06 47.78,+44 49 53.9,1.602663,2307.83472,0.000016,,Y,N,,15.1,121.9,99.6,2.2,,,0.46,,0.52,,0.98,0,2002MNRAS.332..745M,,,,Y,Gaia ID 1539240932275710720,
HE2200-1341,22 03 35.63,-13 26 50.0,0.6583,947.952,,,Y,?,,15.4,138.2,,,,,0.46,,>0.393,,#VALUE!,0,2020A&A...638A.131N,,,,Y,In SPY,
